Birth Rate,Business Tax Rate,CO2 Emissions,Birth Rate Classificaton,Above Health Exp Threshold?,GDP per Capita,Country,Days to Start Business,Ease of Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Number of Records,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Region,Tourism Inbound,Tourism Outbound,Year
0.011,,114766,Below 1.5%,Below Threshold,22600.92528,Belgium,,,58391,2.32486E+11,0.083,1878,,0.005,0.313,0.085,81,75,0.747,1,0.175,0.655,0.17,10286570,0.972,Europe,8304000000,10878000000,1/12/2001
0.01,,20700,Below 1.5%,Below Threshold,1481.945715,Bosnia and Herzegovina,,,4201,5748990555,0.072,108,,0.008,0.012,,77,73,0.115,1,0.199,0.689,0.112,3879353,0.393,Europe,279000000,96000000,1/12/2001
0.009,,46454,Below 1.5%,Below Threshold,1729.191157,Bulgaria,,,19416,13868600710,0.074,129,,0.017,0.076,0.111,75,69,0.195,1,0.152,0.68,0.168,8020282,0.692,Europe,1262000000,836000000,1/12/2001
0.009,,20715,Below 1.5%,Below Threshold,5191.901985,Croatia,,,7948,23052044813,0.072,376,,0.007,0.116,0.095,78,71,0.395,1,0.169,0.672,0.159,4440000,0.557,Europe,3463000000,677000000,1/12/2001
0.013,,6846,Below 1.5%,Below Threshold,10067.07878,Cyprus,,,2114,9679304971,0.058,776,,0.005,0.188,0.075,80,76,0.327,1,0.219,0.678,0.103,961481,0.688,Europe,2203000000,568000000,1/12/2001
0.009,,124407,Below 1.5%,Below Threshold,6301.045025,Czech Republic,,,42078,64375288107,0.064,403,,0.005,0.147,0.072,78,72,0.679,1,0.161,0.7,0.139,10216605,0.739,Europe,3104000000,1386000000,1/12/2001
0.012,,49035,Below 1.5%,Below Threshold,29946.35162,Denmark,,,19203,1.60476E+11,0.091,2730,,0.005,0.43,0.082,79,75,0.74,1,0.186,0.665,0.148,5358783,0.852,Europe,4003000000,4861000000,1/12/2001
0.009,,15596,Below 1.5%,Below Threshold,4495.411266,Estonia,,,4919,6240147810,0.049,218,,0.008,0.315,0.078,76,65,0.48,1,0.174,0.671,0.155,1388115,0.692,Europe,661000000,253000000,1/12/2001
,,792,Above 3%,Below Threshold,24501.95806,Faeroe Islands,,,,1154899793,,,,,0.432,,82,77,0.52,1,,,,47135,0.372,Europe,,,1/12/2001
0.011,,56424,Below 1.5%,Below Threshold,24025.21353,Finland,,,33150,1.24643E+11,0.074,1786,,0.003,0.431,0.058,82,75,0.805,1,0.18,0.669,0.151,5188008,0.824,Europe,2065000000,2442000000,1/12/2001
0.013,,385827,Below 1.5%,Below Threshold,21812.14548,France,,,260565,1.3383E+12,0.102,2241,,0.004,0.263,0.07,83,76,0.621,1,0.188,0.651,0.161,61355725,0.761,Europe,38385000000,26749000000,1/12/2001
0.009,,853663,Below 1.5%,Below Threshold,22840.21509,Germany,,,346679,1.88089E+12,0.105,2402,,0.004,0.317,0.1,81,76,0.671,1,0.154,0.679,0.168,82349925,0.731,Europe,24175000000,56529000000,1/12/2001
0.009,,93806,Below 1.5%,Below Threshold,11855.80697,Greece,,,28004,1.29842E+11,0.088,1055,,0.006,0.109,0.086,81,76,0.723,1,0.15,0.678,0.172,10951764,0.729,Europe,9216000000,4189000000,1/12/2001
0.01,,57022,Below 1.5%,Below Threshold,5175.025628,Hungary,,,25591,52720966883,0.072,374,,0.009,0.145,0.121,77,68,0.487,1,0.166,0.682,0.153,10187576,0.647,Europe,4191000000,1887000000,1/12/2001
0.014,,2101,Below 1.5%,Below Threshold,27803.06225,Iceland,,,3238,7922983043,0.093,2612,,0.003,0.494,0.18,83,78,0.874,1,0.23,0.653,0.116,284968,0.925,Europe,383000000,372000000,1/12/2001
0.015,,44151,1.5-3%,Below Threshold,27201.34249,Ireland,,,14432,1.05167E+11,0.067,1848,,0.006,0.231,0.048,80,75,0.768,1,0.214,0.674,0.112,3866243,0.594,Europe,3789000000,2956000000,1/12/2001
,,,Above 3%,Below Threshold,20802.3512,Isle of Man,,,,1614595291,,,,,,,,,,1,,,,77616,0.518,Europe,,,1/12/2001
0.009,,450348,Below 1.5%,Below Threshold,19722.99694,Italy,,,172142,1.1237E+12,0.081,1590,,0.004,0.272,0.073,83,77,0.896,1,0.143,0.672,0.186,56974100,0.673,Europe,26916000000,16997000000,1/12/2001
0.022,,,1.5-3%,Below Threshold,1490.361033,Kosovo,,,1902,2535333632,,,,,,,70,66,,1,,,,1701154,,Europe,,,1/12/2001
0.008,,6854,Below 1.5%,Below Threshold,3556.88621,Latvia,,,4111,8313047744,0.062,215,,0.014,0.072,0.112,77,65,0.28,1,0.172,0.674,0.154,2337170,0.68,Europe,153000000,255000000,1/12/2001
0.012,,,Below 1.5%,Below Threshold,74437.65673,Liechtenstein,,,,2491800559,,,,,0.451,,82,76,0.329,1,,,,33475,0.15,Europe,,,1/12/2001
0.009,,12919,Below 1.5%,Below Threshold,3503.27358,Lithuania,,,8277,12159225000,0.063,220,,0.009,0.072,0.096,78,66,0.294,1,0.193,0.665,0.142,3470818,0.669,Europe,425000000,227000000,1/12/2001
0.012,,8801,Below 1.5%,Below Threshold,45743.43018,Luxembourg,,,3509,20196868009,0.074,3405,,0.004,0.362,,81,75,0.929,1,0.19,0.669,0.142,441525,0.848,Europe,1780000000,1464000000,1/12/2001
0.012,,11998,Below 1.5%,Below Threshold,1664.309096,"Macedonia, FYR",,,2577,3436961385,0.085,141,,0.014,0.035,0.194,76,71,0.108,1,0.219,0.679,0.103,2065098,0.583,Europe,49000000,60000000,1/12/2001
0.01,,2486,Below 1.5%,Below Threshold,9967.790407,Malta,,,787,3917620728,0.07,675,,0.007,0.179,0.069,81,77,0.585,1,0.2,0.688,0.111,393028,0.926,Europe,704000000,204000000,1/12/2001
0.012,,3715,Below 1.5%,Below Threshold,407.7302431,Moldova,,,3052,1480656884,0.071,29,,0.024,0.015,0.287,71,63,0.056,1,0.228,0.669,0.102,3631462,0.457,Europe,58000000,90000000,1/12/2001
,,,Above 3%,Below Threshold,82537.26389,Monaco,,,,2671401083,0.033,2718,,0.004,0.466,,,,0.442,1,,,,32366,1,Europe,,,1/12/2001
0.013,,,Below 1.5%,Below Threshold,1896.719774,Montenegro,,,,1159891560,0.085,160,,0.012,,,77,71,,1,0.21,0.673,0.117,611525,0.596,Europe,,,1/12/2001
0.013,,167274,Below 1.5%,Below Threshold,24968.80878,Netherlands,,,75614,4.00654E+11,0.083,2079,,0.005,0.494,0.05,81,76,0.765,1,0.186,0.678,0.136,16046180,0.778,Europe,11147000000,13061000000,1/12/2001
0.013,,41092,Below 1.5%,Below Threshold,37867.17522,Norway,,,26823,1.70923E+11,0.098,3705,,0.004,0.64,0.087,82,76,0.796,1,0.2,0.65,0.15,4513751,0.766,Europe,2380000000,4718000000,1/12/2001
0.01,,302806,Below 1.5%,Below Threshold,4978.577223,Poland,,,89733,1.90421E+11,0.059,292,,0.008,0.099,0.184,78,70,0.261,1,0.187,0.688,0.125,38248076,0.618,Europe,5121000000,3595000000,1/12/2001
0.011,,62863,Below 1.5%,Below Threshold,11612.00696,Portugal,,,24815,1.20332E+11,0.093,1087,,0.005,0.181,,80,73,0.771,1,0.16,0.676,0.164,10362722,0.55,Europe,6236000000,2606000000,1/12/2001
0.01,,95672,Below 1.5%,Below Threshold,1833.81266,Romania,,,36819,40585886769,0.044,79,,0.022,0.045,0.454,75,68,0.172,1,0.181,0.683,0.137,22131970,0.529,Europe,419000000,475000000,1/12/2001
0.009,,1558013,Below 1.5%,Below Threshold,2100.359008,Russian Federation,,,626014,3.06603E+11,0.057,119,,0.019,0.029,0.179,72,59,0.053,1,0.175,0.698,0.127,145976473,0.733,Europe,4726000000,9760000000,1/12/2001
,,,Above 3%,Below Threshold,29679.44198,San Marino,,,,815205233,0.052,2183,,0.005,0.503,0.088,84,78,0.577,1,,,,27467,0.938,Europe,,,1/12/2001
0.011,,,Below 1.5%,Below Threshold,1518.034294,Serbia,,,14965,11390468619,0.076,84,,0.011,,0.345,75,70,,1,0.197,0.67,0.132,7503433,0.535,Europe,,,1/12/2001
0.01,,39358,Below 1.5%,Below Threshold,5636.63909,Slovak Republic,,,18593,30318731991,0.055,216,,0.01,0.125,0.112,78,70,0.399,1,0.191,0.695,0.114,5378867,0.562,Europe,649000000,340000000,1/12/2001
0.009,,15163,Below 1.5%,Below Threshold,10290.31605,Slovenia,,,6732,20498926981,0.086,883,,0.004,0.302,0.151,80,72,0.739,1,0.155,0.701,0.144,1992060,0.508,Europe,1059000000,560000000,1/12/2001
0.01,,297830,Below 1.5%,Below Threshold,14939.05155,Spain,,,125038,6.08856E+11,0.072,1089,,0.005,0.181,0.052,83,76,0.728,1,0.146,0.685,0.169,40756001,0.763,Europe,33829000000,8466000000,1/12/2001
0.01,,51129,Below 1.5%,Below Threshold,25557.55646,Sweden,,,50532,2.27359E+11,0.089,2268,,0.003,0.518,0.056,82,78,0.808,1,0.183,0.645,0.172,8895960,0.841,Europe,5200000000,7916000000,1/12/2001
0.01,,42963,Below 1.5%,Below Threshold,36328.11949,Switzerland,,,26557,2.62647E+11,0.103,3748,,0.005,0.551,0.043,83,77,0.733,1,0.173,0.673,0.154,7229854,0.733,Europe,9290000000,7085000000,1/12/2001
0.021,,194538,1.5-3%,Below Threshold,3057.786144,Turkey,,,70402,1.96005E+11,0.052,148,,0.032,0.052,,74,67,0.305,1,0.302,0.637,0.061,64100297,0.653,Europe,10067000000,1738000000,1/12/2001
0.008,,321651,Below 1.5%,Below Threshold,780.7380243,Ukraine,,,134096,38009344577,0.057,44,,0.015,0.012,0.323,74,63,0.046,1,0.168,0.691,0.141,48683865,0.672,Europe,759000000,676000000,1/12/2001
0.011,,550552,Below 1.5%,Below Threshold,25121.07941,United Kingdom,,,223770,1.48515E+12,0.073,1819,,0.006,0.335,0.051,80,76,0.782,1,0.188,0.654,0.158,59119673,0.788,Europe,26137000000,46410000000,1/12/2001
0.021,,13927,1.5-3%,Below Threshold,12846.45333,Bahrain,,,6069,8976446420,0.038,488,,0.011,0.15,0.107,76,74,0.429,1,0.305,0.67,0.024,698749,0.884,Middle East,886000000,423000000,1/12/2001
0.018,,398827,1.5-3%,Below Threshold,1726.624326,"Iran, Islamic Rep.",,,133435,1.15438E+11,0.051,294,,0.027,0.015,,71,69,0.031,1,0.328,0.629,0.043,66857624,0.648,Middle East,1122000000,714000000,1/12/2001
0.036,,85342,Above 3%,Below Threshold,,Iraq,,,26935,,0.011,8,,0.035,0.001,,73,69,,1,0.426,0.539,0.035,24516842,0.686,Middle East,15000000,31000000,1/12/2001
0.021,,65749,1.5-3%,Below Threshold,19093.18217,Israel,,,19143,1.22941E+11,0.079,1499,,0.005,0.174,0.1,81,78,0.897,1,0.28,0.619,0.1,6439000,0.913,Middle East,2854000000,3887000000,1/12/2001
0.031,,16003,Above 3%,Below Threshold,1824.886122,Jordan,,,4818,8972965061,0.099,184,,0.023,0.047,0.109,73,71,0.179,1,0.392,0.577,0.031,4917000,0.801,Middle East,884000000,420000000,1/12/2001
0.023,,55122,1.5-3%,Below Threshold,17616.22906,Kuwait,,,20067,34890773740,0.036,634,,0.011,0.086,0.079,74,73,0.443,1,0.257,0.711,0.033,1980604,0.981,Middle East,286000000,3207000000,1/12/2001
0.018,,16208,1.5-3%,Below Threshold,5256.656911,Lebanon,,,5258,17649751244,0.109,571,,0.016,0.068,0.172,77,73,0.228,1,0.285,0.644,0.072,3357600,0.861,Middle East,837000000,,1/12/2001
0.023,,20286,1.5-3%,Below Threshold,8909.808946,Oman,,,8420,19949284975,0.031,263,,0.013,0.059,0.092,75,71,0.144,1,0.369,0.607,0.024,2239025,0.715,Middle East,538000000,703000000,1/12/2001
0.019,,30363,1.5-3%,Below Threshold,28666.60951,Qatar,,,12452,17538461033,0.026,732,,0.01,0.062,,78,76,0.291,1,0.263,0.72,0.017,611808,0.965,Middle East,272000000,366000000,1/12/2001
0.026,,297214,1.5-3%,Below Threshold,8760.078336,Saudi Arabia,,,106657,1.83012E+11,0.045,397,,0.019,0.047,,75,71,0.121,1,0.376,0.589,0.035,20891594,0.801,Middle East,,,1/12/2001
0.03,,48786,Above 3%,Below Threshold,1263.388659,Syrian Arab Republic,,,15638,21099833784,0.049,58,,0.019,0.004,0.09,75,72,0.012,1,0.404,0.563,0.034,16700984,0.523,Middle East,1150000000,670000000,1/12/2001
0.016,,101415,1.5-3%,Below Threshold,32984.85619,United Arab Emirates,,,37365,1.03312E+11,0.025,815,,0.009,0.263,0.081,76,74,0.61,1,0.249,0.741,0.01,3132104,0.807,Middle East,1200000000,3321000000,1/12/2001
0.039,,16252,Above 3%,Below Threshold,546.5362272,"Yemen, Rep.",,,5265,9854042165,0.043,27,,0.067,0.001,0.175,62,59,0.008,1,0.481,0.491,0.028,18029989,0.268,Middle East,38000000,136000000,1/12/2001
,,,Above 3%,Below Threshold,,American Samoa,,,,,,,,,,,,,0.037,1,,,,58176,0.885,Oceania,,,1/12/2001
0.013,,324860,Below 1.5%,Below Threshold,19504.5588,Australia,,,105751,3.78642E+11,0.082,1632,,0.005,0.527,0.087,82,77,0.571,1,0.206,0.669,0.125,19413000,0.874,Oceania,12804000000,8053000000,1/12/2001
0.024,,1115,1.5-3%,Below Threshold,2037.685462,Fiji,,,,1660102346,0.033,67,,0.02,0.019,0.083,70,65,0.099,1,0.343,0.621,0.036,814700,0.483,Oceania,316000000,84000000,1/12/2001
0.02,,737,1.5-3%,Below Threshold,,French Polynesia,,,,,,,,,0.063,,76,70,0.279,1,0.31,0.645,0.044,241276,0.56,Oceania,,,1/12/2001
0.021,,,1.5-3%,Below Threshold,,Guam,,,,,,,,,0.254,,78,73,0.208,1,0.303,0.641,0.055,156417,0.932,Oceania,,,1/12/2001
0.028,,26,1.5-3%,Below Threshold,748.8787458,Kiribati,,,,63101272,0.088,67,,0.053,0.023,,68,62,0.005,1,0.394,0.572,0.034,84261,0.435,Oceania,3200000,,1/12/2001
,,81,Above 3%,Above Threshold,2206.656121,Marshall Islands,,,,115152143,0.194,412,,0.033,0.017,,,,0.009,1,,,,52184,0.687,Oceania,3100000,300000,1/12/2001
0.029,,176,1.5-3%,Below Threshold,2239.916954,"Micronesia, Fed. Sts.",,,,240051900,0.085,190,,0.041,0.047,0.153,68,67,,1,0.399,0.563,0.038,107170,0.223,Oceania,15000000,5000000,1/12/2001
0.02,,1907,1.5-3%,Below Threshold,,New Caledonia,,,,,,,,,0.182,,78,72,0.317,1,0.284,0.655,0.061,217324,0.622,Oceania,94000000,,1/12/2001
0.014,,34510,Below 1.5%,Below Threshold,13736.79667,New Zealand,,,17120,53305639461,0.077,1052,,0.006,0.532,0.076,81,76,0.586,1,0.225,0.657,0.118,3880500,0.858,Oceania,2340000000,1255000000,1/12/2001
0.035,,3231,Above 3%,Below Threshold,558.2616154,Papua New Guinea,,,,3081029666,0.045,25,,0.058,0.009,0.162,61,57,0.002,1,0.402,0.573,0.025,5518971,0.132,Oceania,5200000,38000000,1/12/2001
0.03,,143,Above 3%,Below Threshold,1385.933518,Samoa,,,,243324190,0.058,79,,0.018,0.017,,73,67,0.014,1,0.406,0.549,0.045,175567,0.221,Oceania,39000000,,1/12/2001
0.035,,172,Above 3%,Below Threshold,945.5423194,Solomon Islands,,,,400464593,0.064,61,,0.029,0.005,0.146,65,62,0.002,1,0.418,0.554,0.029,423529,0.162,Oceania,8800000,10500000,1/12/2001
0.028,,143,1.5-3%,Below Threshold,1695.797937,Tonga,,,,167042880,0.057,96,,0.015,0.028,0.113,73,69,0.002,1,0.382,0.56,0.058,98504,0.23,Oceania,6800000,3200000,1/12/2001
0.032,,88,Above 3%,Below Threshold,1362.637726,Vanuatu,,,,257926882,0.037,50,,0.019,0.028,0.088,70,66,0.002,1,0.411,0.556,0.033,189285,0.22,Oceania,58000000,8000000,1/12/2001
0.02,,345,1.5-3%,Below Threshold,9855.538127,Antigua and Barbuda,,,,778311557,0.044,429,,0.013,0.089,0.116,76,71,0.317,1,0.291,0.639,0.07,78972,0.317,The Americas,272000000,32000000,1/12/2001
0.018,,132632,1.5-3%,Below Threshold,8732.456405,Argentina,,,57835,3.25488E+11,0.094,676,,0.018,0.098,0.277,78,70,0.181,1,0.276,0.624,0.1,37273361,0.893,The Americas,2756000000,4888000000,1/12/2001
0.014,,2237,Below 1.5%,Below Threshold,20671.54574,Aruba,,,,1920262570,,,,,0.171,0.121,76,71,0.571,1,0.229,0.694,0.078,92894,0.463,The Americas,825000000,156000000,1/12/2001
0.017,,1569,1.5-3%,Below Threshold,21506.74411,"Bahamas, The",,,,6516651000,0.051,1107,,0.013,0.118,0.06,76,70,0.2,1,0.286,0.659,0.055,303005,0.821,The Americas,1665000000,342000000,1/12/2001
0.013,,1221,Below 1.5%,Below Threshold,11600.43385,Barbados,,,,3112350000,0.067,635,,0.015,0.119,0.096,76,71,0.198,1,0.217,0.669,0.115,268296,0.337,The Americas,706000000,149000000,1/12/2001
0.029,,711,1.5-3%,Below Threshold,3555.66014,Belize,,,,871840755,0.045,160,,0.021,,0.155,74,67,0.16,1,0.397,0.56,0.042,245198,0.474,The Americas,111000000,45000000,1/12/2001
0.013,,495,Below 1.5%,Below Threshold,58883.95943,Bermuda,,,,3680483000,,,,,0.475,,81,75,0.211,1,,,,62504,1,The Americas,351000000,,1/12/2001
0.031,,9824,Above 3%,Below Threshold,939.1453811,Bolivia,,,2903,8141513292,0.063,59,,0.054,0.021,0.201,65,61,0.09,1,0.396,0.562,0.042,8669066,0.623,The Americas,119000000,114000000,1/12/2001
0.02,,337434,1.5-3%,Below Threshold,3128.143838,Brazil,,,190712,5.53582E+11,0.073,228,,0.027,0.045,0.576,74,67,0.162,1,0.291,0.653,0.056,176968205,0.816,The Americas,1844000000,3765000000,1/12/2001
0.011,,525690,Below 1.5%,Below Threshold,23573.75193,Canada,,,247878,7.32717E+11,0.093,2152,,0.005,0.602,0.058,82,77,0.344,1,0.189,0.685,0.127,31081900,0.798,The Americas,12680000000,14634000000,1/12/2001
,,455,Above 3%,Below Threshold,,Cayman Islands,,,,,,,,,,,,,0.392,1,,,,43317,1,The Americas,585000000,,1/12/2001
0.016,,52757,1.5-3%,Below Threshold,4625.336377,Chile,,,24697,72336972322,0.077,348,,0.009,0.191,0.119,80,74,0.326,1,0.273,0.654,0.074,15639289,0.864,The Americas,1184000000,939000000,1/12/2001
0.023,,56274,1.5-3%,Below Threshold,2421.272646,Colombia,,,25708,98203544965,0.06,144,,0.021,0.029,0.207,75,68,0.081,1,0.324,0.628,0.048,40558648,0.724,The Americas,1483000000,1556000000,1/12/2001
0.02,,5761,1.5-3%,Below Threshold,4087.118971,Costa Rica,,,2889,16403602943,0.071,291,,0.011,0.096,0.238,80,76,0.081,1,0.308,0.637,0.055,4013488,0.604,The Americas,1339000000,434000000,1/12/2001
0.013,,25453,Below 1.5%,Below Threshold,2835.076661,Cuba,,,12588,31683300000,0.063,178,,0.006,0.011,,79,75,0.001,1,0.213,0.687,0.101,11175465,0.756,The Americas,1840000000,,1/12/2001
,,,Above 3%,Below Threshold,,Curacao,,,,,,,,,,,,,,1,0.242,0.651,0.107,128905,0.91,The Americas,271000000,,1/12/2001
,,114,Above 3%,Below Threshold,4750.93095,Dominica,,,,330949850,0.05,236,,0.013,0.132,0.111,,,0.111,1,,,,69660,0.654,The Americas,46000000,9000000,1/12/2001
0.025,,20235,1.5-3%,Below Threshold,2829.192446,Dominican Republic,,,7291,24894907435,0.062,173,,0.032,0.044,0.243,74,68,0.144,1,0.345,0.602,0.053,8799298,0.626,The Americas,2798000000,425000000,1/12/2001
0.025,,23447,1.5-3%,Below Threshold,1914.449166,Ecuador,,,8442,24468324000,0.04,77,,0.027,0.027,0.162,77,71,0.067,1,0.342,0.606,0.052,12780869,0.608,The Americas,438000000,465000000,1/12/2001
0.024,,5948,1.5-3%,Below Threshold,2307.77109,El Salvador,,,4151,13812700000,0.08,184,,0.025,0.015,,75,65,0.143,1,0.379,0.564,0.057,5985299,0.595,The Americas,452000000,247000000,1/12/2001
0.017,,539,1.5-3%,Below Threshold,19275.43281,Greenland,,,,1086170639,,,,,0.355,,70,65,0.282,1,,,,56350,0.818,The Americas,,,1/12/2001
0.019,,194,1.5-3%,Below Threshold,5137.800528,Grenada,,,,523279846,0.076,392,,0.013,0.051,0.102,73,68,0.063,1,0.341,0.582,0.077,101849,0.361,The Americas,83000000,8000000,1/12/2001
0.036,,10627,Above 3%,Below Threshold,1629.309766,Guatemala,,,7188,18702820735,0.064,105,,0.039,0.017,0.19,72,65,0.1,1,0.439,0.52,0.041,11478984,0.455,The Americas,588000000,266000000,1/12/2001
0.022,,1595,1.5-3%,Below Threshold,931.2846252,Guyana,,,,696281469,0.058,54,,0.038,0.132,0.17,67,60,0.101,1,0.356,0.601,0.044,747657,0.286,The Americas,65000000,62000000,1/12/2001
0.031,,1569,Above 3%,Below Threshold,402.2801127,Haiti,,,2054,3507981946,0.056,23,,0.073,0.003,0.34,59,56,0.01,1,0.398,0.561,0.04,8720247,0.373,The Americas,105000000,168000000,1/12/2001
0.031,,5713,Above 3%,Below Threshold,1188.761983,Honduras,,,3224,7566517572,0.069,83,,0.03,0.014,0.238,73,68,0.037,1,0.419,0.541,0.04,6365040,0.46,The Americas,260000000,205000000,1/12/2001
0.019,,10627,1.5-3%,Below Threshold,3494.26991,Jamaica,,,3841,9104515930,0.051,178,,0.02,0.039,0.206,74,68,0.229,1,0.324,0.601,0.075,2605556,0.521,The Americas,1494000000,227000000,1/12/2001
0.024,,394800,1.5-3%,Below Threshold,6879.673877,Mexico,,,146302,7.24704E+11,0.054,373,,0.02,0.07,0.128,77,72,0.207,1,0.337,0.613,0.05,105339877,0.75,The Americas,9190000000,6685000000,1/12/2001
0.027,,3964,1.5-3%,Below Threshold,1028.29254,Nicaragua,,,2544,5323146568,0.053,54,,0.031,0.014,0.186,73,67,0.032,1,0.403,0.559,0.038,5176685,0.55,The Americas,135000000,128000000,1/12/2001
0.024,,7008,1.5-3%,Below Threshold,3788.81591,Panama,,,2816,11807500000,0.077,293,,0.021,0.073,0.11,78,73,0.152,1,0.318,0.625,0.056,3116409,0.625,The Americas,665000000,227000000,1/12/2001
0.028,,3821,1.5-3%,Below Threshold,1403.246092,Paraguay,,,3919,7662595076,0.076,107,,0.027,0.011,0.283,73,68,0.211,1,0.377,0.578,0.045,5460621,0.56,The Americas,91000000,130000000,1/12/2001
0.024,,27165,1.5-3%,Below Threshold,1945.032871,Peru,,,11795,51295103189,0.047,96,,0.028,0.076,0.25,74,68,0.068,1,0.337,0.614,0.049,26372358,0.734,The Americas,763000000,773000000,1/12/2001
0.015,,,1.5-3%,Below Threshold,18243.71775,Puerto Rico,,,,69668635000,,,,,0.156,,81,73,0.429,1,0.233,0.652,0.115,3818774,0.943,The Americas,2728000000,1456000000,1/12/2001
,,,Above 3%,Below Threshold,,Sint Maarten (Dutch part),,,,,,,,,,,,,,1,,,,31189,1,The Americas,484000000,137000000,1/12/2001
0.017,,183,1.5-3%,Below Threshold,9865.0972,St. Kitts and Nevis,,,,455905602,0.038,378,,0.013,0.077,0.111,,,0.045,1,,,,46214,0.326,The Americas,62000000,8000000,1/12/2001
0.019,,363,1.5-3%,Below Threshold,4464.48469,St. Lucia,,,,708290496,0.062,278,,0.015,0.082,0.13,74,70,0.017,1,0.315,0.61,0.075,158650,0.275,The Americas,233000000,32000000,1/12/2001
0.017,,,1.5-3%,Below Threshold,,St. Martin (French part),,,,,,,,,,,81,74,,1,,,,27782,,The Americas,,,1/12/2001
0.019,,180,1.5-3%,Below Threshold,3991.313328,St. Vincent and the Grenadines,,,,431017935,0.036,145,,0.019,0.051,0.116,73,68,0.069,1,0.308,0.622,0.07,107989,0.455,The Americas,89000000,12000000,1/12/2001
0.022,,2266,1.5-3%,Below Threshold,1613.028132,Suriname,,,,763465571,0.084,136,,0.029,0.031,0.257,72,65,0.184,1,0.304,0.638,0.058,473312,0.665,The Americas,26000000,62000000,1/12/2001
0.015,,25024,1.5-3%,Below Threshold,6935.901256,Trinidad and Tobago,,,11762,8824873156,0.044,305,,0.025,0.154,0.157,72,65,0.201,1,0.246,0.687,0.067,1272347,0.106,The Americas,361000000,172000000,1/12/2001
,,15,Above 3%,Below Threshold,,Turks and Caicos Islands,,,,,,,,,,,,,,1,,,,20186,0.854,The Americas,311000000,,1/12/2001
0.014,,5601405,Below 1.5%,Above Threshold,37285.81592,United States,,,2230817,1.06253E+13,0.142,5138,,0.007,0.491,0.069,79,74,0.447,1,0.212,0.665,0.123,284968955,0.792,The Americas,1.09103E+11,85610000000,1/12/2001
0.016,,5090,1.5-3%,Below Threshold,6282.020902,Uruguay,,,2712,20898788420,0.112,703,,0.014,0.111,0.486,79,71,0.156,1,0.244,0.624,0.132,3326762,0.923,The Americas,700000000,338000000,1/12/2001
0.023,,172525,1.5-3%,Below Threshold,4942.011282,"Venezuela, RB",,,57871,1.2291E+11,0.06,295,,0.018,0.046,0.225,76,70,0.26,1,0.332,0.621,0.046,24870441,0.883,The Americas,677000000,1718000000,1/12/2001
0.013,,,Below 1.5%,Below Threshold,,Virgin Islands (U.S.),,,,,,,,,0.184,,81,75,0.378,1,0.253,0.658,0.089,108386,0.928,The Americas,1234000000,,1/12/2001
0.019,,90854,1.5-3%,Below Threshold,1742.55761,Algeria,,,28773,56760288962,0.037,65,,0.032,0.016,0.086,71,68,0.014,1,0.318,0.641,0.041,32572977,0.615,Africa,111000000,248000000,1/12/2002
0.05,,12666,Above 3%,Below Threshold,839.5045121,Angola,,,8304,12497346043,0.044,33,,0.126,0.003,0.973,48,45,0.009,1,0.477,0.499,0.025,14886574,0.339,Africa,51000000,52000000,1/12/2002
0.042,,2054,Above 3%,Below Threshold,378.6587084,Benin,,,2262,2807657386,0.043,16,,0.085,0.007,,58,54,0.03,1,0.451,0.52,0.028,7414744,0.39,Africa,95000000,49000000,1/12/2002
0.026,,4485,1.5-3%,Below Threshold,3006.59407,Botswana,,,1916,5438856515,0.057,193,,0.054,0.034,0.162,49,48,0.184,1,0.372,0.598,0.03,1808976,0.544,Africa,324000000,197000000,1/12/2002
0.046,,1005,Above 3%,Below Threshold,260.6935797,Burkina Faso,,,,3205592273,0.05,13,,0.094,0.002,,52,50,0.009,1,0.467,0.507,0.027,12296399,0.193,Africa,37000000,36000000,1/12/2002
0.043,,220,Above 3%,Below Threshold,117.2814012,Burundi,,,,825394484,0.071,6,,0.086,0.001,0.195,50,48,0.007,1,0.476,0.495,0.028,7037727,0.087,Africa,1600000,14000000,1/12/2002
0.041,,3418,Above 3%,Below Threshold,648.2987607,Cameroon,,,6518,10879778328,0.048,31,,0.087,0.004,0.18,53,51,0.042,1,0.449,0.518,0.034,16782044,0.467,Africa,124000000,205000000,1/12/2002
0.039,,246,Above 3%,Below Threshold,263.1597031,Central African Republic,,,,991387865,0.042,11,,0.113,0.001,0.18,46,42,0.003,1,0.422,0.539,0.04,3767248,0.378,Africa,3000000,29000000,1/12/2002
0.051,,169,Above 3%,Below Threshold,221.8337338,Chad,,,,1987622269,0.08,18,,0.104,0.002,0.18,48,46,0.004,1,0.491,0.481,0.028,8959964,0.217,Africa,25000000,80000000,1/12/2002
0.039,,92,Above 3%,Below Threshold,451.7082251,Comoros,,,,251162421,0.034,15,,0.072,0.006,0.12,60,57,,1,0.413,0.556,0.031,556028,0.28,Africa,11000000,,1/12/2002
0.047,,1544,Above 3%,Below Threshold,176.2636008,"Congo, Dem. Rep.",,,17841,8728037672,0.042,5,,0.113,0.001,,48,46,0.011,1,0.464,0.508,0.028,49516960,0.361,Africa,,,1/12/2002
